Model,Prediction Time (s),Computation Time (s),Preprocess Time (ms),Inference Time (ms),Postprocess Time (ms),Total Objects Detected,Confidence,Detected Class
yolo5s,1.3901,1.3901,7.6177,194.2437,9.6104,1,0.84,accident
yolo5n,0.8223,0.8223,4.6483,76.2193,1.2198,1,0.97,accident
yolo5m,1.2867,1.2867,7.6015,322.0981,1.2003,1,0.8,accident
yolo5l,1.8303,1.8303,4.9999,540.9574,1.2955,1,0.98,accident
yolo5x,2.4099,2.4099,3.4559,650.708,1.4175,2,0.96,accident
yolo8s,1.0399,1.0399,4.6985,200.2298,1.2075,1,0.77,normal
yolo8n,0.9597,0.9597,4.4333,168.0595,1.1136,1,0.89,accident
yolo8m,1.2928,1.2928,3.4973,339.1981,1.1142,1,0.89,accident
yolo8l,1.6683,1.6683,3.977,584.6057,1.2214,1,0.87,accident
yolo8x,1.8692,1.8692,3.2613,539.3558,1.0993,1,0.96,accident
yolo10s,1.0051,1.0051,3.881,208.7263,0.4718,1,0.92,accident
yolo10n,0.8713,0.8713,4.7894,129.2898,0.4205,0,0.84,accident
yolo10m,1.1037,1.1037,3.4197,222.7301,0.3359,1,0.99,accident
yolo10l,1.3634,1.3634,3.7623,375.2158,0.3456,2,0.79,accident
yolo10x,1.6163,1.6163,4.2474,540.7085,0.2846,1,0.32,accident
yolo11s,1.6163,1.6163,4.2474,540.7085,0.2846,1,0.89,accident
yolo11n,0.8275,0.8275,5.1109,92.3675,0.929,1,0.89,accident
yolo11m,1.1656,1.1656,3.4096,261.0569,1.0218,1,0.89,accident
yolo11l,1.2987,1.2987,2.8549,314.7052,1.012,1,0.87,accident
yolo11x,1.9252,1.9252,3.2535,598.3974,1.1023,2,0.88,accident
